batch_idx,layer_idx,seq_idx,num_tokens,orig_unique_experts,experts_preserved,experts_rerouted
100,,0,1,6,1,5
100,,1,1,6,2,4
100,,2,1,6,1,5
100,,3,1,6,0,6
100,,4,1,6,1,5
100,,5,1,6,0,6
100,,6,1,6,1,5
100,,7,1,6,1,5
100,,8,1,6,0,6
100,,9,1,6,1,5
100,,10,1,6,0,6
100,,11,1,6,1,5
100,,12,1,6,2,4
100,,13,1,6,1,5
100,,14,1,6,4,2
100,,15,1,6,2,4
100,,0,1,6,1,5
100,,1,1,6,0,6
100,,2,1,6,3,3
100,,3,1,6,2,4
100,,4,1,6,3,3
100,,5,1,6,1,5
100,,6,1,6,1,5
100,,7,1,6,2,4
100,,8,1,6,4,2
100,,9,1,6,2,4
100,,10,1,6,1,5
100,,11,1,6,0,6
100,,12,1,6,5,1
100,,13,1,6,4,2
100,,14,1,6,3,3
100,,15,1,6,0,6
100,,0,1,6,2,4
100,,1,1,6,3,3
100,,2,1,6,0,6
100,,3,1,6,1,5
100,,4,1,6,1,5
100,,5,1,6,1,5
100,,6,1,6,2,4
100,,7,1,6,2,4
100,,8,1,6,2,4
100,,9,1,6,1,5
100,,10,1,6,5,1
100,,11,1,6,1,5
100,,12,1,6,1,5
100,,13,1,6,3,3
100,,14,1,6,4,2
100,,15,1,6,3,3
100,,0,1,6,5,1
100,,1,1,6,2,4
100,,2,1,6,2,4
100,,3,1,6,4,2
100,,4,1,6,0,6
100,,5,1,6,6,0
100,,6,1,6,5,1
100,,7,1,6,1,5
100,,8,1,6,0,6
100,,9,1,6,2,4
100,,10,1,6,4,2
100,,11,1,6,2,4
100,,12,1,6,5,1
100,,13,1,6,6,0
100,,14,1,6,2,4
100,,15,1,6,5,1
100,,0,1,6,2,4
100,,1,1,6,1,5
100,,2,1,6,1,5
100,,3,1,6,4,2
100,,4,1,6,4,2
100,,5,1,6,3,3
100,,6,1,6,4,2
100,,7,1,6,2,4
100,,8,1,6,2,4
100,,9,1,6,2,4
100,,10,1,6,2,4
100,,11,1,6,3,3
100,,12,1,6,3,3
100,,13,1,6,2,4
100,,14,1,6,3,3
100,,15,1,6,3,3
100,,0,1,6,5,1
100,,1,1,6,2,4
100,,2,1,6,0,6
100,,3,1,6,4,2
100,,4,1,6,3,3
100,,5,1,6,1,5
100,,6,1,6,5,1
100,,7,1,6,2,4
100,,8,1,6,3,3
100,,9,1,6,0,6
100,,10,1,6,4,2
100,,11,1,6,0,6
100,,12,1,6,3,3
100,,13,1,6,5,1
100,,14,1,6,2,4
100,,15,1,6,4,2
100,,0,1,6,3,3
100,,1,1,6,1,5
100,,2,1,6,2,4
100,,3,1,6,4,2
100,,4,1,6,4,2
100,,5,1,6,4,2
100,,6,1,6,4,2
100,,7,1,6,2,4
100,,8,1,6,2,4
100,,9,1,6,2,4
100,,10,1,6,4,2
100,,11,1,6,1,5
100,,12,1,6,3,3
100,,13,1,6,4,2
